Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/csrf/,10,0,92,1025.8542623836547,10.120957856997848,2992.868458852172,28.0,0.3511892445614492,0.0,93,2000,2000,3000,3000,3000,3000,3000,3000,3000,3000
POST,/api/auth/login/,10,0,4700,4752.106737741269,3113.284958060831,6647.638624999672,43.0,0.3511892445614492,0.0,4700,4900,6000,6600,6600,6600,6600,6600,6600,6600,6600
POST,/api/auth/register/,10,0,1900,2183.822258398868,975.7572910748422,4064.7767500486225,43.0,0.3511892445614492,0.0,2000,2800,3000,3900,4100,4100,4100,4100,4100,4100,4100
POST,/api/notes/ [create],12,0,1200,1668.447604131264,857.0828749798238,4683.945749886334,148.0,0.421427093473739,0.0,1500,1600,2000,2000,2600,4700,4700,4700,4700,4700,4700
GET,/api/notes/ [list],20,0,1000,2011.1852312460542,851.6914169304073,5948.231250047684,61.45,0.7023784891228984,0.0,1100,1900,3600,3600,5100,5900,5900,5900,5900,5900,5900
GET,/api/notes/:id [read],6,0,870,902.0405485061929,854.2360840365291,1017.8260831162333,148.0,0.2107135467368695,0.0,870,870,950,950,1000,1000,1000,1000,1000,1000,1000
PATCH,/api/notes/:id [update],3,0,1600,1499.4408333829294,1142.1970000956208,1745.4172500874847,151.0,0.10535677336843476,0.0,1600,1600,1700,1700,1700,1700,1700,1700,1700,1700,1700
,Aggregated,71,0,1500,2109.485552829861,10.120957856997848,6647.638624999672,77.26760563380282,2.493443636386289,0.0,1500,2000,3100,3600,4700,5900,6600,6600,6600,6600,6600
