Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/csrf/,10,0,5,6.657916773110628,4.0847500786185265,15.722709009423852,28.0,0.3873121846350504,0.0,6,7,7,8,16,16,16,16,16,16,16
POST,/api/auth/login/,10,0,2800,2852.496379148215,2782.766083953902,2965.0780828669667,42.0,0.3873121846350504,0.0,2900,2900,2900,2900,3000,3000,3000,3000,3000,3000,3000
POST,/api/auth/register/,10,0,2900,2911.7161374306306,2810.076749883592,3137.47595786117,42.0,0.3873121846350504,0.0,2900,2900,2900,3000,3100,3100,3100,3100,3100,3100,3100
POST,/api/notes/ [create],17,0,840,849.6543040142997,820.8489581011236,892.042167019099,146.58823529411765,0.6584307138795857,0.0,840,870,870,880,880,890,890,890,890,890,890
GET,/api/notes/ [list],21,0,840,858.4519840133864,815.1112920604646,1029.2129160370678,71.9047619047619,0.813355587733606,0.0,840,850,850,870,950,980,1000,1000,1000,1000,1000
DELETE,/api/notes/:id [delete],2,0,1118.3324169833213,1199.515333515592,1118.3324169833213,1280.6982500478625,0.0,0.07746243692701009,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/api/notes/:id [read],7,0,850,846.500000118145,815.375667065382,879.255292005837,146.71428571428572,0.2711185292445353,0.0,850,860,870,870,880,880,880,880,880,880,880
PATCH,/api/notes/:id [update],3,0,1100,1136.7065135855228,1088.9222079422325,1229.6989168971777,149.0,0.11619365539051513,0.0,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200
,Aggregated,80,0,850,1273.9371171832317,4.0847500786185265,3137.47595786117,82.45,3.0984974770804032,0.0,860,950,2800,2800,2900,2900,3000,3100,3100,3100,3100
