Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/csrf/,100,0,37,401.6140100522898,6.680916994810104,1725.4846249707043,28.0,2.2725812507300422,0.0,38,420,510,1200,1700,1700,1700,1700,1700,1700,1700
POST,/api/auth/login/,100,0,3700,3746.755588843953,2751.861416036263,5965.017791138962,43.0,2.2725812507300422,0.0,3700,4000,4100,4200,4600,4900,5700,6000,6000,6000,6000
POST,/api/auth/register/,100,0,1400,1704.8357887775637,977.0374579820782,3698.986583156511,43.0,2.2725812507300422,0.0,1500,1800,2100,2400,2600,3400,3700,3700,3700,3700,3700
POST,/api/notes/ [create],229,0,1100,1204.2334872393515,775.1917080022395,2914.181458996609,148.0,5.204211064171797,0.0,1100,1200,1400,1400,1800,2100,2700,2800,2900,2900,2900
GET,/api/notes/ [list],402,0,1100,1213.5197781773506,774.0632907953113,3027.055042097345,115.76616915422886,9.13577662793477,0.0,1100,1300,1400,1500,1700,2000,2600,2800,3000,3000,3000
DELETE,/api/notes/:id [delete],64,0,1600,1645.454603512917,1013.839916093275,2971.522167092189,0.0,1.454452000467227,0.0,1700,1700,1900,1900,2100,2400,2800,3000,3000,3000,3000
GET,/api/notes/:id [read],127,0,1200,1261.3654317770622,779.0716250892729,2481.0324169229716,148.56692913385828,2.8861781884271536,0.0,1200,1300,1500,1600,1800,1900,2300,2400,2500,2500,2500
PATCH,/api/notes/:id [update],60,0,1500,1534.2219000371795,1054.0879999753088,3070.926582906395,151.0,1.3635487504380253,0.0,1500,1600,1700,1800,2000,2400,3000,3100,3100,3100,3100
,Aggregated,1182,0,1200,1443.7231612819216,6.680916994810104,5965.017791138962,101.31810490693739,26.861910383629098,0.0,1200,1500,1700,1800,2800,3500,4200,4500,5700,6000,6000
