Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/csrf/,100,0,23,26.6884875157848,7.622916949912906,74.02624981477857,28.0,2.2664003653730234,0.0,23,27,33,38,44,66,73,74,74,74,74
POST,/api/auth/login/,100,0,6200,6175.421023743693,4209.864583099261,7795.83750013262,42.7,2.2664003653730234,0.0,6200,6700,7000,7100,7400,7500,7800,7800,7800,7800,7800
POST,/api/auth/register/,100,0,6400,6033.517741635442,3165.5508750118315,8082.24616618827,42.7,2.2664003653730234,0.0,6600,7000,7200,7400,7600,7800,7800,8100,8100,8100,8100
POST,/api/notes/ [create],208,0,840,862.431508586339,756.487166043371,1482.0570000447333,148.0,4.7141127599758885,0.0,840,860,870,870,900,1000,1200,1400,1500,1500,1500
GET,/api/notes/ [list],353,0,840,845.7233908054585,758.505041943863,1335.2116669993848,98.1728045325779,8.000393289766773,0.0,840,850,860,860,880,900,1100,1200,1300,1300,1300
DELETE,/api/notes/:id [delete],70,0,1100,1119.4532315146976,1025.465166894719,1195.8188749849796,0.0,1.5864802557611164,0.0,1100,1100,1200,1200,1200,1200,1200,1200,1200,1200,1200
GET,/api/notes/:id [read],96,0,840,850.5536080677606,758.2887499593198,1316.1155830603093,148.75,2.1757443507581025,0.0,840,860,870,880,900,930,1100,1300,1300,1300,1300
PATCH,/api/notes/:id [update],57,0,1100,1135.7742894988246,1019.5957079995424,1668.8612080179155,151.0,1.2918482082626233,0.0,1100,1100,1200,1200,1200,1300,1300,1700,1700,1700,1700
,Aggregated,1084,0,860,1776.9767925385095,7.622916949912906,8082.24616618827,91.94280442804428,24.567779960643573,0.0,860,900,1100,1200,6200,7100,7500,7700,7800,8100,8100
