Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/auth/csrf/,50,0,9,9.27580002695322,3.323750104755163,19.830291159451008,28.0,1.281846057045839,0.0,9,12,12,13,14,15,20,20,20,20,20
POST,/api/auth/login/,50,0,3000,2989.6200916776434,2639.492457965389,3265.2915420476347,42.0,1.281846057045839,0.0,3000,3100,3100,3100,3200,3200,3300,3300,3300,3300,3300
POST,/api/auth/register/,50,0,3100,3085.3831399185583,2633.3526249509305,4071.0459158290178,42.0,1.281846057045839,0.0,3100,3200,3200,3200,3300,3400,4100,4100,4100,4100,4100
POST,/api/notes/ [create],107,0,830,845.6499337492876,764.8613748606294,1123.3782079070807,147.26168224299064,2.743150562078095,0.0,830,840,860,860,890,940,1000,1100,1100,1100,1100
GET,/api/notes/ [list],180,0,830,846.0630805645552,762.5654579605907,1174.1278329864144,134.42777777777778,4.61464580536502,0.0,830,850,870,870,890,910,1100,1200,1200,1200,1200
DELETE,/api/notes/:id [delete],23,0,1100,1121.2349381783733,1012.041375041008,1310.4214160703123,0.0,0.5896491862410859,0.0,1100,1100,1200,1200,1200,1200,1300,1300,1300,1300,1300
GET,/api/notes/:id [read],71,0,830,840.0933984699856,763.7770839501172,911.3251250237226,147.7605633802817,1.8202214010050912,0.0,830,840,860,870,890,900,900,910,910,910,910
PATCH,/api/notes/:id [update],29,0,1100,1156.1410030157401,1083.5989171173424,1423.8878330215812,150.0344827586207,0.7434707130865866,0.0,1100,1200,1200,1200,1200,1400,1400,1400,1400,1400,1400
,Aggregated,560,0,840,1189.2017374122847,3.323750104755163,4071.0459158290178,107.85,14.356675838913397,0.0,840,890,1100,1200,3000,3100,3200,3300,4100,4100,4100
