Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789405073,50,,Aggregated,13.900000,0.000000,1200,1500,3800,4200,4800,5900,7400,8200,8800,8800,8800,329,0,1200,2049.9190267127315,4.473582841455936,8771.805916912854,72.95744680851064
1789405074,50,,Aggregated,13.900000,0.000000,1200,1400,3700,4200,4700,5500,7400,8200,8800,8800,8800,344,0,1200,2006.939078112631,4.473582841455936,8771.805916912854,76.27616279069767
1789405075,50,,Aggregated,13.400000,0.000000,1200,1400,3500,4100,4700,5500,7400,8200,8800,8800,8800,359,0,1200,1959.6514138743323,4.473582841455936,8771.805916912854,77.26740947075209
1789405076,50,,Aggregated,13.500000,0.000000,1200,1400,1900,4000,4700,5500,7400,8200,8800,8800,8800,371,0,1200,1927.0200401976342,4.473582841455936,8771.805916912854,82.04851752021564
1789405077,50,,Aggregated,13.900000,0.000000,1200,1400,1700,4000,4600,5300,7400,8200,8800,8800,8800,387,0,1200,1886.6554361464846,4.473582841455936,8771.805916912854,84.4547803617571
1789405078,50,,Aggregated,13.300000,0.000000,1100,1300,1600,3900,4600,5300,7300,8100,8800,8800,8800,408,0,1100,1837.6217808382696,4.473582841455936,8771.805916912854,85.23774509803921
1789405079,50,,Aggregated,13.300000,0.000000,1100,1300,1500,3800,4500,5300,7300,8100,8800,8800,8800,414,0,1100,1824.09654599322,4.473582841455936,8771.805916912854,85.80676328502416
1789405080,50,,Aggregated,14.000000,0.000000,1100,1300,1500,3700,4500,5300,7300,8100,8800,8800,8800,426,0,1100,1806.4994461082376,4.473582841455936,8771.805916912854,87.23239436619718
1789405081,50,,Aggregated,14.300000,0.000000,1100,1300,1500,2100,4500,5300,7300,8100,8800,8800,8800,453,0,1100,1762.6890498480736,4.473582841455936,8771.805916912854,89.62913907284768
1789405082,50,,Aggregated,13.800000,0.000000,1100,1300,1500,1900,4500,5300,7300,8100,8800,8800,8800,461,0,1100,1748.8982980791075,4.473582841455936,8771.805916912854,90.67462039045553
1789405083,50,,Aggregated,13.700000,0.000000,1100,1300,1400,1700,4500,5300,7300,8100,8800,8800,8800,475,0,1100,1727.197558153911,4.473582841455936,8771.805916912854,92.72842105263157
1789405084,50,,Aggregated,14.500000,0.000000,1100,1300,1400,1600,4500,5300,7300,8100,8800,8800,8800,491,0,1100,1703.8360616868426,4.473582841455936,8771.805916912854,95.4887983706721
